"Código","Unidade Territorial","Referência",""
"25","PARAÍBA","11/2013","397601"
"26","PERNAMBUCO","11/2013","986800"
"27","ALAGOAS","11/2013","386071"
"28","SERGIPE","11/2013","218044"
"29","BAHIA","11/2013","1497432"
"31","MINAS GERAIS","11/2013","2526591"
"32","ESPÍRITO SANTO","11/2013","449604"
"33","RIO DE JANEIRO","11/2013","1229676"
"35","SÃO PAULO","11/2013","3203821"
"41","PARANÁ","11/2013","1133517"
"42","SANTA CATARINA","11/2013","453988"
"43","RIO GRANDE DO SUL","11/2013","930929"
"50","MATO GROSSO DO SUL","11/2013","283723"
"51","MATO GROSSO","11/2013","402280"
"52","GOIÁS","11/2013","745265"
"53","DISTRITO FEDERAL","11/2013","267265"
"11","RONDÔNIA","12/2013","213182"
"12","ACRE","12/2013","105611"
"13","AMAZONAS","12/2013","380294"
"14","RORAIMA","12/2013","49960"
"15","PARÁ","12/2013","740555"
"16","AMAPÁ","12/2013","71781"
"17","TOCANTINS","12/2013","228354"
"21","MARANHÃO","12/2013","577458"
"22","PIAUÍ","12/2013","308405"
"23","CEARÁ","12/2013","1114318"
"24","RIO GRANDE DO NORTE","12/2013","419026"
"25","PARAÍBA","12/2013","395900"
"26","PERNAMBUCO","12/2013","992659"
"27","ALAGOAS","12/2013","387997"
"28","SERGIPE","12/2013","218792"
"29","BAHIA","12/2013","1500631"
"31","MINAS GERAIS","12/2013","2509432"
"32","ESPÍRITO SANTO","12/2013","449156"
"33","RIO DE JANEIRO","12/2013","1229340"
"35","SÃO PAULO","12/2013","3175714"
"41","PARANÁ","12/2013","1126407"
"42","SANTA CATARINA","12/2013","448951"
"43","RIO GRANDE DO SUL","12/2013","928707"
"50","MATO GROSSO DO SUL","12/2013","282703"
"51","MATO GROSSO","12/2013","401991"
"52","GOIÁS","12/2013","744237"
"53","DISTRITO FEDERAL","12/2013","267214"
"11","RONDÔNIA","01/2014","213641"
"12","ACRE","01/2014","105599"
"13","AMAZONAS","01/2014","380814"
"14","RORAIMA","01/2014","50105"
"15","PARÁ","01/2014","742636"
"16","AMAPÁ","01/2014","71895"
"17","TOCANTINS","01/2014","227915"
"21","MARANHÃO","01/2014","579298"
"22","PIAUÍ","01/2014","308592"
"23","CEARÁ","01/2014","1108992"
"24","RIO GRANDE DO NORTE","01/2014","418138"
"25","PARAÍBA","01/2014","395178"
"26","PERNAMBUCO","01/2014","994664"
"27","ALAGOAS","01/2014","388735"
"28","SERGIPE","01/2014","219337"
"29","BAHIA","01/2014","1500397"
"31","MINAS GERAIS","01/2014","2502002"
"32","ESPÍRITO SANTO","01/2014","448698"
"33","RIO DE JANEIRO","01/2014","1227872"
"35","SÃO PAULO","01/2014","3163679"
"41","PARANÁ","01/2014","1123491"
"42","SANTA CATARINA","01/2014","448252"
"43","RIO GRANDE DO SUL","01/2014","927351"
"50","MATO GROSSO DO SUL","01/2014","281623"
"51","MATO GROSSO","01/2014","401784"
"52","GOIÁS","01/2014","744315"
"53","DISTRITO FEDERAL","01/2014","267168"
"11","RONDÔNIA","02/2014","214494"
"12","ACRE","02/2014","105938"
"13","AMAZONAS","02/2014","384758"
"14","RORAIMA","02/2014","50056"
"15","PARÁ","02/2014","745365"
"16","AMAPÁ","02/2014","72350"
"17","TOCANTINS","02/2014","227079"
"21","MARANHÃO","02/2014","581531"
"22","PIAUÍ","02/2014","308791"
"23","CEARÁ","02/2014","1101039"
"24","RIO GRANDE DO NORTE","02/2014","416700"
"25","PARAÍBA","02/2014","392508"
"26","PERNAMBUCO","02/2014","997453"
"27","ALAGOAS","02/2014","388970"
"28","SERGIPE","02/2014","219944"
"29","BAHIA","02/2014","1499894"
"31","MINAS GERAIS","02/2014","2480848"
"32","ESPÍRITO SANTO","02/2014","447933"
"33","RIO DE JANEIRO","02/2014","1226883"
"35","SÃO PAULO","02/2014","3152213"
"41","PARANÁ","02/2014","1117346"
"42","SANTA CATARINA","02/2014","446417"
"43","RIO GRANDE DO SUL","02/2014","925487"
"50","MATO GROSSO DO SUL","02/2014","280733"
"51","MATO GROSSO","02/2014","402633"
"52","GOIÁS","02/2014","744879"
"53","DISTRITO FEDERAL","02/2014","266945"
"11","RONDÔNIA","03/2014","215231"
"12","ACRE","03/2014","105691"
"13","AMAZONAS","03/2014","390152"
"14","RORAIMA","03/2014","50518"
"15","PARÁ","03/2014","751202"
"16","AMAPÁ","03/2014","72387"
"17","TOCANTINS","03/2014","225620"
"21","MARANHÃO","03/2014","581970"
"22","PIAUÍ","03/2014","307616"
"23","CEARÁ","03/2014","1091451"
"24","RIO GRANDE DO NORTE","03/2014","415176"
"25","PARAÍBA","03/2014","389276"
"26","PERNAMBUCO","03/2014","998235"
"27","ALAGOAS","03/2014","388076"
"28","SERGIPE","03/2014","220592"
"29","BAHIA","03/2014","1495572"
"31","MINAS GERAIS","03/2014","2459363"
"32","ESPÍRITO SANTO","03/2014","446788"
"33","RIO DE JANEIRO","03/2014","1225350"
"35","SÃO PAULO","03/2014","3135438"
"41","PARANÁ","03/2014","1107094"
"42","SANTA CATARINA","03/2014","443470"
"43","RIO GRANDE DO SUL","03/2014","922089"
"50","MATO GROSSO DO SUL","03/2014","279913"
"51","MATO GROSSO","03/2014","400344"
"52","GOIÁS","03/2014","746352"
"53","DISTRITO FEDERAL","03/2014","266351"
"11","RONDÔNIA","04/2014","215200"
"12","ACRE","04/2014","105026"
"13","AMAZONAS","04/2014","393635"
"14","RORAIMA","04/2014","51363"
"15","PARÁ","04/2014","753518"
"16","AMAPÁ","04/2014","72677"
"17","TOCANTINS","04/2014","224788"
"21","MARANHÃO","04/2014","581934"
"22","PIAUÍ","04/2014","306169"
"23","CEARÁ","04/2014","1085150"
"24","RIO GRANDE DO NORTE","04/2014","413934"
"25","PARAÍBA","04/2014","386929"
"26","PERNAMBUCO","04/2014","995702"
"27","ALAGOAS","04/2014","386322"
"28","SERGIPE","04/2014","220289"
"29","BAHIA","04/2014","1491597"
"31","MINAS GERAIS","04/2014","2443038"
"32","ESPÍRITO SANTO","04/2014","443800"
"33","RIO DE JANEIRO","04/2014","1224411"
"35","SÃO PAULO","04/2014","3109287"
"41","PARANÁ","04/2014","1096866"
"42","SANTA CATARINA","04/2014","439372"
"43","RIO GRANDE DO SUL","04/2014","919742"
"50","MATO GROSSO DO SUL","04/2014","278470"
"51","MATO GROSSO","04/2014","399044"
"52","GOIÁS","04/2014","745099"
"53","DISTRITO FEDERAL","04/2014","265457"
"11","RONDÔNIA","05/2014","203260"
"12","ACRE","05/2014","97100"
"13","AMAZONAS","05/2014","369204"
"14","RORAIMA","05/2014","48582"
"15","PARÁ","05/2014","693852"
"16","AMAPÁ","05/2014","64551"
"17","TOCANTINS","05/2014","220691"
"21","MARANHÃO","05/2014","536344"
"22","PIAUÍ","05/2014","295066"
"23","CEARÁ","05/2014","1059358"
"24","RIO GRANDE DO NORTE","05/2014","401230"
"25","PARAÍBA","05/2014","371587"
"26","PERNAMBUCO","05/2014","947444"
"27","ALAGOAS","05/2014","363555"
"28","SERGIPE","05/2014","209964"
"29","BAHIA","05/2014","1422053"
"31","MINAS GERAIS","05/2014","2441347"
"32","ESPÍRITO SANTO","05/2014","440622"
"33","RIO DE JANEIRO","05/2014","1189208"
"35","SÃO PAULO","05/2014","3129621"
"41","PARANÁ","05/2014","1127039"
"42","SANTA CATARINA","05/2014","447115"
"43","RIO GRANDE DO SUL","05/2014","905706"
"50","MATO GROSSO DO SUL","05/2014","281351"
"51","MATO GROSSO","05/2014","393712"
"52","GOIÁS","05/2014","705377"
"53","DISTRITO FEDERAL","05/2014","268751"
"11","RONDÔNIA","06/2014","204736"
"12","ACRE","06/2014","97646"
"13","AMAZONAS","06/2014","372763"
"14","RORAIMA","06/2014","48839"
"15","PARÁ","06/2014","700475"
"16","AMAPÁ","06/2014","65603"
"17","TOCANTINS","06/2014","220534"
"21","MARANHÃO","06/2014","537537"
"22","PIAUÍ","06/2014","294840"
"23","CEARÁ","06/2014","1054036"
"24","RIO GRANDE DO NORTE","06/2014","401948"
"25","PARAÍBA","06/2014","370207"
"26","PERNAMBUCO","06/2014","947884"
"27","ALAGOAS","06/2014","363739"
"28","SERGIPE","06/2014","208762"
"29","BAHIA","06/2014","1423492"
"31","MINAS GERAIS","06/2014","2428931"
"32","ESPÍRITO SANTO","06/2014","440240"
"33","RIO DE JANEIRO","06/2014","1190591"
"35","SÃO PAULO","06/2014","3116205"
"41","PARANÁ","06/2014","1120641"
"42","SANTA CATARINA","06/2014","443040"
"43","RIO GRANDE DO SUL","06/2014","903323"
"50","MATO GROSSO DO SUL","06/2014","280891"
"51","MATO GROSSO","06/2014","394566"
"52","GOIÁS","06/2014","704893"
"53","DISTRITO FEDERAL","06/2014","268467"
"11","RONDÔNIA","07/2014","205925"
"12","ACRE","07/2014","97758"
"13","AMAZONAS","07/2014","375287"
"14","RORAIMA","07/2014","49228"
"15","PARÁ","07/2014","705750"
"16","AMAPÁ","07/2014","66537"
"17","TOCANTINS","07/2014","219435"
"21","MARANHÃO","07/2014","538673"
"22","PIAUÍ","07/2014","295145"
"23","CEARÁ","07/2014","1048559"
"24","RIO GRANDE DO NORTE","07/2014","402065"
"25","PARAÍBA","07/2014","368948"
"26","PERNAMBUCO","07/2014","947164"
"27","ALAGOAS","07/2014","364259"
"28","SERGIPE","07/2014","208643"
"29","BAHIA","07/2014","1424442"
"31","MINAS GERAIS","07/2014","2422575"
"32","ESPÍRITO SANTO","07/2014","438809"
"33","RIO DE JANEIRO","07/2014","1193886"
