"Código","Unidade Territorial","Referência",""
"12","ACRE","08/2016","82031"
"13","AMAZONAS","08/2016","366540"
"14","RORAIMA","08/2016","53404"
"15","PARÁ","08/2016","685098"
"16","AMAPÁ","08/2016","64155"
"17","TOCANTINS","08/2016","178339"
"21","MARANHÃO","08/2016","465821"
"22","PIAUÍ","08/2016","208951"
"23","CEARÁ","08/2016","803395"
"24","RIO GRANDE DO NORTE","08/2016","298138"
"25","PARAÍBA","08/2016","249327"
"26","PERNAMBUCO","08/2016","717462"
"27","ALAGOAS","08/2016","301385"
"28","SERGIPE","08/2016","185784"
"29","BAHIA","08/2016","1079981"
"31","MINAS GERAIS","08/2016","1527608"
"32","ESPÍRITO SANTO","08/2016","321305"
"33","RIO DE JANEIRO","08/2016","909261"
"35","SÃO PAULO","08/2016","2231586"
"41","PARANÁ","08/2016","703787"
"42","SANTA CATARINA","08/2016","254198"
"43","RIO GRANDE DO SUL","08/2016","605894"
"50","MATO GROSSO DO SUL","08/2016","221191"
"51","MATO GROSSO","08/2016","306041"
"52","GOIÁS","08/2016","572929"
"53","DISTRITO FEDERAL","08/2016","184598"
"11","RONDÔNIA","09/2016","178240"
"12","ACRE","09/2016","81512"
"13","AMAZONAS","09/2016","367288"
"14","RORAIMA","09/2016","53158"
"15","PARÁ","09/2016","685873"
"16","AMAPÁ","09/2016","64554"
"17","TOCANTINS","09/2016","178223"
"21","MARANHÃO","09/2016","467034"
"22","PIAUÍ","09/2016","209412"
"23","CEARÁ","09/2016","801172"
"24","RIO GRANDE DO NORTE","09/2016","298079"
"25","PARAÍBA","09/2016","249225"
"26","PERNAMBUCO","09/2016","717667"
"27","ALAGOAS","09/2016","301294"
"28","SERGIPE","09/2016","186209"
"29","BAHIA","09/2016","1083108"
"31","MINAS GERAIS","09/2016","1524260"
"32","ESPÍRITO SANTO","09/2016","320915"
"33","RIO DE JANEIRO","09/2016","909812"
"35","SÃO PAULO","09/2016","2235914"
"41","PARANÁ","09/2016","700421"
"42","SANTA CATARINA","09/2016","254188"
"43","RIO GRANDE DO SUL","09/2016","604723"
"50","MATO GROSSO DO SUL","09/2016","220999"
"51","MATO GROSSO","09/2016","305563"
"52","GOIÁS","09/2016","571827"
"53","DISTRITO FEDERAL","09/2016","184362"
"11","RONDÔNIA","10/2016","179036"
"12","ACRE","10/2016","81026"
"13","AMAZONAS","10/2016","369015"
"14","RORAIMA","10/2016","52792"
"15","PARÁ","10/2016","690208"
"16","AMAPÁ","10/2016","64410"
"17","TOCANTINS","10/2016","177172"
"21","MARANHÃO","10/2016","471555"
"22","PIAUÍ","10/2016","210847"
"23","CEARÁ","10/2016","798182"
"24","RIO GRANDE DO NORTE","10/2016","297747"
"25","PARAÍBA","10/2016","249965"
"26","PERNAMBUCO","10/2016","720031"
"27","ALAGOAS","10/2016","298683"
"28","SERGIPE","10/2016","186965"
"29","BAHIA","10/2016","1090442"
"31","MINAS GERAIS","10/2016","1518415"
"32","ESPÍRITO SANTO","10/2016","319722"
"33","RIO DE JANEIRO","10/2016","910925"
"35","SÃO PAULO","10/2016","2238542"
"41","PARANÁ","10/2016","696328"
"42","SANTA CATARINA","10/2016","252790"
"43","RIO GRANDE DO SUL","10/2016","602877"
"50","MATO GROSSO DO SUL","10/2016","220802"
"51","MATO GROSSO","10/2016","304584"
"52","GOIÁS","10/2016","571495"
"53","DISTRITO FEDERAL","10/2016","184079"
"11","RONDÔNIA","11/2016","179606"
"12","ACRE","11/2016","81321"
"13","AMAZONAS","11/2016","371286"
"14","RORAIMA","11/2016","52671"
"15","PARÁ","11/2016","696166"
"16","AMAPÁ","11/2016","64661"
"17","TOCANTINS","11/2016","176867"
"21","MARANHÃO","11/2016","476798"
"22","PIAUÍ","11/2016","212775"
"23","CEARÁ","11/2016","797212"
"24","RIO GRANDE DO NORTE","11/2016","298756"
"25","PARAÍBA","11/2016","252387"
"26","PERNAMBUCO","11/2016","724793"
"27","ALAGOAS","11/2016","299316"
"28","SERGIPE","11/2016","188430"
"29","BAHIA","11/2016","1097152"
"31","MINAS GERAIS","11/2016","1517034"
"32","ESPÍRITO SANTO","11/2016","319349"
"33","RIO DE JANEIRO","11/2016","912806"
"35","SÃO PAULO","11/2016","2241881"
"41","PARANÁ","11/2016","695727"
"42","SANTA CATARINA","11/2016","251775"
"43","RIO GRANDE DO SUL","11/2016","603248"
"50","MATO GROSSO DO SUL","11/2016","220667"
"51","MATO GROSSO","11/2016","304453"
"52","GOIÁS","11/2016","572207"
"53","DISTRITO FEDERAL","11/2016","183904"
"11","RONDÔNIA","12/2016","168359"
"12","ACRE","12/2016","78203"
"13","AMAZONAS","12/2016","367249"
"14","RORAIMA","12/2016","51484"
"15","PARÁ","12/2016","675142"
"16","AMAPÁ","12/2016","63555"
"17","TOCANTINS","12/2016","168571"
"21","MARANHÃO","12/2016","458073"
"22","PIAUÍ","12/2016","197062"
"23","CEARÁ","12/2016","761216"
"24","RIO GRANDE DO NORTE","12/2016","280699"
"25","PARAÍBA","12/2016","236256"
"26","PERNAMBUCO","12/2016","686878"
"27","ALAGOAS","12/2016","285481"
"28","SERGIPE","12/2016","181044"
"29","BAHIA","12/2016","1040379"
"31","MINAS GERAIS","12/2016","1410417"
"32","ESPÍRITO SANTO","12/2016","297241"
"33","RIO DE JANEIRO","12/2016","848409"
"35","SÃO PAULO","12/2016","2085639"
"41","PARANÁ","12/2016","649634"
"42","SANTA CATARINA","12/2016","235776"
"43","RIO GRANDE DO SUL","12/2016","561630"
"50","MATO GROSSO DO SUL","12/2016","206309"
"51","MATO GROSSO","12/2016","284715"
"52","GOIÁS","12/2016","543009"
"53","DISTRITO FEDERAL","12/2016","152546"
"11","RONDÔNIA","01/2017","173084"
"12","ACRE","01/2017","80177"
"13","AMAZONAS","01/2017","359281"
"14","RORAIMA","01/2017","52298"
"15","PARÁ","01/2017","658504"
"16","AMAPÁ","01/2017","60056"
"17","TOCANTINS","01/2017","172842"
"21","MARANHÃO","01/2017","436844"
"22","PIAUÍ","01/2017","196156"
"23","CEARÁ","01/2017","777029"
"24","RIO GRANDE DO NORTE","01/2017","279171"
"25","PARAÍBA","01/2017","236506"
"26","PERNAMBUCO","01/2017","672098"
"27","ALAGOAS","01/2017","288809"
"28","SERGIPE","01/2017","169973"
"29","BAHIA","01/2017","1011061"
"31","MINAS GERAIS","01/2017","1479084"
"32","ESPÍRITO SANTO","01/2017","310505"
"33","RIO DE JANEIRO","01/2017","854491"
"35","SÃO PAULO","01/2017","2169944"
"41","PARANÁ","01/2017","700364"
"42","SANTA CATARINA","01/2017","254702"
"43","RIO GRANDE DO SUL","01/2017","578750"
"50","MATO GROSSO DO SUL","01/2017","217948"
"51","MATO GROSSO","01/2017","296878"
"52","GOIÁS","01/2017","559522"
"53","DISTRITO FEDERAL","01/2017","155322"
"11","RONDÔNIA","02/2017","173507"
"12","ACRE","02/2017","79050"
"13","AMAZONAS","02/2017","358851"
"14","RORAIMA","02/2017","52268"
"15","PARÁ","02/2017","658746"
"16","AMAPÁ","02/2017","60049"
"17","TOCANTINS","02/2017","172234"
"21","MARANHÃO","02/2017","433704"
"22","PIAUÍ","02/2017","194374"
"23","CEARÁ","02/2017","770556"
"24","RIO GRANDE DO NORTE","02/2017","276191"
"25","PARAÍBA","02/2017","233213"
"26","PERNAMBUCO","02/2017","667663"
"27","ALAGOAS","02/2017","285261"
"28","SERGIPE","02/2017","168841"
"29","BAHIA","02/2017","1001911"
"31","MINAS GERAIS","02/2017","1474058"
"32","ESPÍRITO SANTO","02/2017","310320"
"33","RIO DE JANEIRO","02/2017","854420"
"35","SÃO PAULO","02/2017","2178232"
"41","PARANÁ","02/2017","700327"
"42","SANTA CATARINA","02/2017","254479"
"43","RIO GRANDE DO SUL","02/2017","577858"
"50","MATO GROSSO DO SUL","02/2017","217270"
"51","MATO GROSSO","02/2017","297485"
"52","GOIÁS","02/2017","560258"
"53","DISTRITO FEDERAL","02/2017","154808"
"11","RONDÔNIA","03/2017","174536"
"12","ACRE","03/2017","78586"
"13","AMAZONAS","03/2017","358651"
"14","RORAIMA","03/2017","52211"
"15","PARÁ","03/2017","658915"
"16","AMAPÁ","03/2017","60405"
"17","TOCANTINS","03/2017","171523"
"21","MARANHÃO","03/2017","431146"
"22","PIAUÍ","03/2017","193176"
"23","CEARÁ","03/2017","765130"
"24","RIO GRANDE DO NORTE","03/2017","274067"
"25","PARAÍBA","03/2017","231297"
"26","PERNAMBUCO","03/2017","664001"
"27","ALAGOAS","03/2017","283039"
"28","SERGIPE","03/2017","168091"
"29","BAHIA","03/2017","994797"
"31","MINAS GERAIS","03/2017","1471834"
"32","ESPÍRITO SANTO","03/2017","309933"
"33","RIO DE JANEIRO","03/2017","855106"
"35","SÃO PAULO","03/2017","2189250"
"41","PARANÁ","03/2017","702247"
"42","SANTA CATARINA","03/2017","254992"
"43","RIO GRANDE DO SUL","03/2017","577591"
"50","MATO GROSSO DO SUL","03/2017","217243"
"51","MATO GROSSO","03/2017","298781"
"52","GOIÁS","03/2017","562402"
"53","DISTRITO FEDERAL","03/2017","154497"
"11","RONDÔNIA","04/2017","176331"
"12","ACRE","04/2017","77857"
"13","AMAZONAS","04/2017","359515"
"14","RORAIMA","04/2017","52144"
"15","PARÁ","04/2017","659247"
"16","AMAPÁ","04/2017","60353"
"17","TOCANTINS","04/2017","170296"
"21","MARANHÃO","04/2017","426988"
"22","PIAUÍ","04/2017","191555"
"23","CEARÁ","04/2017","757272"
"24","RIO GRANDE DO NORTE","04/2017","271564"
"25","PARAÍBA","04/2017","227958"
"26","PERNAMBUCO","04/2017","659622"
"27","ALAGOAS","04/2017","279339"
"28","SERGIPE","04/2017","166207"
"29","BAHIA","04/2017","986862"
"31","MINAS GERAIS","04/2017","1466780"
"32","ESPÍRITO SANTO","04/2017","309096"
"33","RIO DE JANEIRO","04/2017","854658"
"35","SÃO PAULO","04/2017","2201665"
"41","PARANÁ","04/2017","701809"
"42","SANTA CATARINA","04/2017","254317"
"43","RIO GRANDE DO SUL","04/2017","576258"
"50","MATO GROSSO DO SUL","04/2017","217205"
"51","MATO GROSSO","04/2017","299595"
"52","GOIÁS","04/2017","563644"
"53","DISTRITO FEDERAL","04/2017","154151"
"11","RONDÔNIA","05/2017","177358"
"12","ACRE","05/2017","77534"
"13","AMAZONAS","05/2017","360715"
"14","RORAIMA","05/2017","52068"
"15","PARÁ","05/2017","659854"
"16","AMAPÁ","05/2017","60344"
"17","TOCANTINS","05/2017","170056"
"21","MARANHÃO","05/2017","424941"
"22","PIAUÍ","05/2017","188589"
"23","CEARÁ","05/2017","750316"
"24","RIO GRANDE DO NORTE","05/2017","269344"
"25","PARAÍBA","05/2017","225691"
"26","PERNAMBUCO","05/2017","657328"
"27","ALAGOAS","05/2017","275949"
"28","SERGIPE","05/2017","164992"
"29","BAHIA","05/2017","981812"
"31","MINAS GERAIS","05/2017","1460947"
"32","ESPÍRITO SANTO","05/2017","308478"
"33","RIO DE JANEIRO","05/2017","854289"
"35","SÃO PAULO","05/2017","2209982"
"41","PARANÁ","05/2017","700337"
"42","SANTA CATARINA","05/2017","253679"
"43","RIO GRANDE DO SUL","05/2017","575152"
"50","MATO GROSSO DO SUL","05/2017","216714"
"51","MATO GROSSO","05/2017","299627"
"52","GOIÁS","05/2017","563072"
"53","DISTRITO FEDERAL","05/2017","154168"
"11","RONDÔNIA","06/2017","178100"
"12","ACRE","06/2017","77642"
"13","AMAZONAS","06/2017","362489"
"14","RORAIMA","06/2017","52142"
"15","PARÁ","06/2017","664383"
"16","AMAPÁ","06/2017","60379"
"17","TOCANTINS","06/2017","170954"
"21","MARANHÃO","06/2017","424768"
"22","PIAUÍ","06/2017","188884"
"23","CEARÁ","06/2017","741948"
"24","RIO GRANDE DO NORTE","06/2017","267326"
"25","PARAÍBA","06/2017","225266"
"26","PERNAMBUCO","06/2017","656056"
"27","ALAGOAS","06/2017","274075"
"28","SERGIPE","06/2017","164028"
"29","BAHIA","06/2017","980353"
"31","MINAS GERAIS","06/2017","1450535"
"32","ESPÍRITO SANTO","06/2017","306715"
"33","RIO DE JANEIRO","06/2017","852299"
"35","SÃO PAULO","06/2017","2212637"
"41","PARANÁ","06/2017","696452"
"42","SANTA CATARINA","06/2017","252103"
"43","RIO GRANDE DO SUL","06/2017","573485"
"50","MATO GROSSO DO SUL","06/2017","216623"
"51","MATO GROSSO","06/2017","300134"
"52","GOIÁS","06/2017","564505"
"53","DISTRITO FEDERAL","06/2017","153757"
"11","RONDÔNIA","07/2017","179196"
"12","ACRE","07/2017","77668"
"13","AMAZONAS","07/2017","362875"
"14","RORAIMA","07/2017","52257"
"15","PARÁ","07/2017","669973"
"16","AMAPÁ","07/2017","60842"
"17","TOCANTINS","07/2017","171051"
"21","MARANHÃO","07/2017","425234"
"22","PIAUÍ","07/2017","188792"
"23","CEARÁ","07/2017","735242"
"24","RIO GRANDE DO NORTE","07/2017","266334"
"25","PARAÍBA","07/2017","224420"
"26","PERNAMBUCO","07/2017","656288"
"27","ALAGOAS","07/2017","271741"
"28","SERGIPE","07/2017","163910"
"29","BAHIA","07/2017","980058"
"31","MINAS GERAIS","07/2017","1446677"
"32","ESPÍRITO SANTO","07/2017","305173"
"33","RIO DE JANEIRO","07/2017","851763"
"35","SÃO PAULO","07/2017","2218622"
"41","PARANÁ","07/2017","695450"
"42","SANTA CATARINA","07/2017","251979"
"43","RIO GRANDE DO SUL","07/2017","573942"
"50","MATO GROSSO DO SUL","07/2017","217065"
"51","MATO GROSSO","07/2017","301758"
"52","GOIÁS","07/2017","566626"
"53","DISTRITO FEDERAL","07/2017","152735"
"11","RONDÔNIA","08/2017","180364"
"12","ACRE","08/2017","77622"
"13","AMAZONAS","08/2017","366868"
"14","RORAIMA","08/2017","52256"
"15","PARÁ","08/2017","678325"
"16","AMAPÁ","08/2017","60981"
"17","TOCANTINS","08/2017","171051"
"21","MARANHÃO","08/2017","426594"
"22","PIAUÍ","08/2017","188722"
"23","CEARÁ","08/2017","729977"
"24","RIO GRANDE DO NORTE","08/2017","265396"
"25","PARAÍBA","08/2017","223991"
"26","PERNAMBUCO","08/2017","656801"
"27","ALAGOAS","08/2017","268673"
"28","SERGIPE","08/2017","163712"
"29","BAHIA","08/2017","981142"
"31","MINAS GERAIS","08/2017","1442057"
"32","ESPÍRITO SANTO","08/2017","304557"
"33","RIO DE JANEIRO","08/2017","852979"
"35","SÃO PAULO","08/2017","2226403"
"41","PARANÁ","08/2017","695299"
"42","SANTA CATARINA","08/2017","250890"
"43","RIO GRANDE DO SUL","08/2017","573658"
"50","MATO GROSSO DO SUL","08/2017","218140"
"51","MATO GROSSO","08/2017","303695"
"52","GOIÁS","08/2017","568911"
"53","DISTRITO FEDERAL","08/2017","152514"
"11","RONDÔNIA","09/2017","158138"
"12","ACRE","09/2017","68269"
"13","AMAZONAS","09/2017","326277"
"14","RORAIMA","09/2017","46446"
"15","PARÁ","09/2017","621420"
"16","AMAPÁ","09/2017","56312"
"17","TOCANTINS","09/2017","155913"
"21","MARANHÃO","09/2017","383111"
"22","PIAUÍ","09/2017","165031"
"23","CEARÁ","09/2017","648184"
"24","RIO GRANDE DO NORTE","09/2017","235444"
"25","PARAÍBA","09/2017","193173"
"26","PERNAMBUCO","09/2017","587444"
"27","ALAGOAS","09/2017","231548"
"28","SERGIPE","09/2017","144853"
"29","BAHIA","09/2017","877831"
"31","MINAS GERAIS","09/2017","1268341"
"32","ESPÍRITO SANTO","09/2017","260660"
"33","RIO DE JANEIRO","09/2017","727268"
"35","SÃO PAULO","09/2017","1946469"
"41","PARANÁ","09/2017","616561"
"42","SANTA CATARINA","09/2017","209983"
"43","RIO GRANDE DO SUL","09/2017","487173"
"50","MATO GROSSO DO SUL","09/2017","191829"
"51","MATO GROSSO","09/2017","267437"
"52","GOIÁS","09/2017","509492"
"53","DISTRITO FEDERAL","09/2017","121927"
"11","RONDÔNIA","10/2017","158945"
"12","ACRE","10/2017","68174"
"13","AMAZONAS","10/2017","327890"
"14","RORAIMA","10/2017","46815"
"15","PARÁ","10/2017","625368"
"16","AMAPÁ","10/2017","56333"
"17","TOCANTINS","10/2017","156079"
"21","MARANHÃO","10/2017","383709"
"22","PIAUÍ","10/2017","164544"
"23","CEARÁ","10/2017","641025"
"24","RIO GRANDE DO NORTE","10/2017","233492"
"25","PARAÍBA","10/2017","190959"
"26","PERNAMBUCO","10/2017","586611"
"27","ALAGOAS","10/2017","229229"
"28","SERGIPE","10/2017","143402"
"29","BAHIA","10/2017","875169"
"31","MINAS GERAIS","10/2017","1269066"
"32","ESPÍRITO SANTO","10/2017","261142"
"33","RIO DE JANEIRO","10/2017","730771"
"35","SÃO PAULO","10/2017","1961342"
"41","PARANÁ","10/2017","617738"
"42","SANTA CATARINA","10/2017","210565"
"43","RIO GRANDE DO SUL","10/2017","488224"
"50","MATO GROSSO DO SUL","10/2017","192712"
"51","MATO GROSSO","10/2017","268701"
"52","GOIÁS","10/2017","512877"
"53","DISTRITO FEDERAL","10/2017","121691"
"11","RONDÔNIA","11/2017","159328"
"12","ACRE","11/2017","68367"
"13","AMAZONAS","11/2017","327942"
"14","RORAIMA","11/2017","47009"
"15","PARÁ","11/2017","626128"
"16","AMAPÁ","11/2017","56401"
"17","TOCANTINS","11/2017","155518"
"21","MARANHÃO","11/2017","383549"
"22","PIAUÍ","11/2017","164172"
"23","CEARÁ","11/2017","634487"
"24","RIO GRANDE DO NORTE","11/2017","231923"
"25","PARAÍBA","11/2017","189035"
"26","PERNAMBUCO","11/2017","583514"
"27","ALAGOAS","11/2017","226822"
"28","SERGIPE","11/2017","142088"
"29","BAHIA","11/2017","870458"
"31","MINAS GERAIS","11/2017","1266957"
"32","ESPÍRITO SANTO","11/2017","260948"
"33","RIO DE JANEIRO","11/2017","731000"
"35","SÃO PAULO","11/2017","1967825"
"41","PARANÁ","11/2017","619333"
"42","SANTA CATARINA","11/2017","210981"
"43","RIO GRANDE DO SUL","11/2017","489469"
"50","MATO GROSSO DO SUL","11/2017","193286"
"51","MATO GROSSO","11/2017","269715"
"52","GOIÁS","11/2017","513804"
"53","DISTRITO FEDERAL","11/2017","121510"
"11","RONDÔNIA","12/2017","158906"
"12","ACRE","12/2017","68107"
"13","AMAZONAS","12/2017","328336"
"14","RORAIMA","12/2017","47296"
"15","PARÁ","12/2017","625982"
"16","AMAPÁ","12/2017","56276"
"17","TOCANTINS","12/2017","154327"
"21","MARANHÃO","12/2017","382553"
"22","PIAUÍ","12/2017","163886"
"23","CEARÁ","12/2017","627557"
"24","RIO GRANDE DO NORTE","12/2017","229756"
"25","PARAÍBA","12/2017","186105"
"26","PERNAMBUCO","12/2017","579675"
"27","ALAGOAS","12/2017","223695"
"28","SERGIPE","12/2017","140662"
"29","BAHIA","12/2017","865149"
"31","MINAS GERAIS","12/2017","1263243"
"32","ESPÍRITO SANTO","12/2017","259799"
"33","RIO DE JANEIRO","12/2017","728967"
"35","SÃO PAULO","12/2017","1971472"
"41","PARANÁ","12/2017","620437"
"42","SANTA CATARINA","12/2017","211009"
"43","RIO GRANDE DO SUL","12/2017","489879"
"50","MATO GROSSO DO SUL","12/2017","193063"
"51","MATO GROSSO","12/2017","269762"
"52","GOIÁS","12/2017","513777"
"53","DISTRITO FEDERAL","12/2017","121415"
"11","RONDÔNIA","01/2018","158832"
"12","ACRE","01/2018","68191"
"13","AMAZONAS","01/2018","328529"
"14","RORAIMA","01/2018","47656"
"15","PARÁ","01/2018","627411"
"16","AMAPÁ","01/2018","56377"
"17","TOCANTINS","01/2018","153884"
"21","MARANHÃO","01/2018","383752"
"22","PIAUÍ","01/2018","164264"
"23","CEARÁ","01/2018","622951"
"24","RIO GRANDE DO NORTE","01/2018","228543"
"25","PARAÍBA","01/2018","185782"
"26","PERNAMBUCO","01/2018","576581"
"27","ALAGOAS","01/2018","221593"
"28","SERGIPE","01/2018","139309"
"29","BAHIA","01/2018","864113"
"31","MINAS GERAIS","01/2018","1258358"
"32","ESPÍRITO SANTO","01/2018","259561"
"33","RIO DE JANEIRO","01/2018","727876"
"35","SÃO PAULO","01/2018","1974637"
"41","PARANÁ","01/2018","619882"
"42","SANTA CATARINA","01/2018","210469"
"43","RIO GRANDE DO SUL","01/2018","489477"
"50","MATO GROSSO DO SUL","01/2018","193145"
"51","MATO GROSSO","01/2018","270371"
"52","GOIÁS","01/2018","513248"
"53","DISTRITO FEDERAL","01/2018","121033"
"11","RONDÔNIA","02/2018","159553"
"12","ACRE","02/2018","67979"
"13","AMAZONAS","02/2018","328794"
"14","RORAIMA","02/2018","48808"
"15","PARÁ","02/2018","627930"
"16","AMAPÁ","02/2018","56445"
"17","TOCANTINS","02/2018","153353"
"21","MARANHÃO","02/2018","383430"
"22","PIAUÍ","02/2018","163708"
"23","CEARÁ","02/2018","618426"
"24","RIO GRANDE DO NORTE","02/2018","227093"
"25","PARAÍBA","02/2018","185142"
"26","PERNAMBUCO","02/2018","573941"
"27","ALAGOAS","02/2018","219648"
"28","SERGIPE","02/2018","138508"
"29","BAHIA","02/2018","862639"
"31","MINAS GERAIS","02/2018","1255394"
"32","ESPÍRITO SANTO","02/2018","259480"
"33","RIO DE JANEIRO","02/2018","727166"
"35","SÃO PAULO","02/2018","1977955"
"41","PARANÁ","02/2018","619662"
"42","SANTA CATARINA","02/2018","210289"
"43","RIO GRANDE DO SUL","02/2018","489625"
"50","MATO GROSSO DO SUL","02/2018","194158"
"51","MATO GROSSO","02/2018","271464"
"52","GOIÁS","02/2018","513709"
"53","DISTRITO FEDERAL","02/2018","120448"
"11","RONDÔNIA","03/2018","148167"
"12","ACRE","03/2018","63618"
"13","AMAZONAS","03/2018","309157"
"14","RORAIMA","03/2018","46652"
"15","PARÁ","03/2018","598202"
"16","AMAPÁ","03/2018","53464"
"17","TOCANTINS","03/2018","145428"
"21","MARANHÃO","03/2018","362235"
"22","PIAUÍ","03/2018","152194"
"23","CEARÁ","03/2018","578157"
"24","RIO GRANDE DO NORTE","03/2018","212362"
"25","PARAÍBA","03/2018","171526"
"26","PERNAMBUCO","03/2018","537581"
"27","ALAGOAS","03/2018","203136"
"28","SERGIPE","03/2018","129058"
"29","BAHIA","03/2018","810352"
"31","MINAS GERAIS","03/2018","1160886"
"32","ESPÍRITO SANTO","03/2018","237672"
"33","RIO DE JANEIRO","03/2018","663729"
"35","SÃO PAULO","03/2018","1827764"
"41","PARANÁ","03/2018","578971"
"42","SANTA CATARINA","03/2018","192798"
"43","RIO GRANDE DO SUL","03/2018","448556"
"50","MATO GROSSO DO SUL","03/2018","180993"
"51","MATO GROSSO","03/2018","254536"
"52","GOIÁS","03/2018","483958"
"53","DISTRITO FEDERAL","03/2018","105778"
"11","RONDÔNIA","04/2018","148693"
"12","ACRE","04/2018","63278"
"13","AMAZONAS","04/2018","310544"
"14","RORAIMA","04/2018","47696"
"15","PARÁ","04/2018","600053"
"16","AMAPÁ","04/2018","53104"
"17","TOCANTINS","04/2018","145468"
"21","MARANHÃO","04/2018","362615"
"22","PIAUÍ","04/2018","151851"
"23","CEARÁ","04/2018","574899"
"24","RIO GRANDE DO NORTE","04/2018","211342"
"25","PARAÍBA","04/2018","171753"
"26","PERNAMBUCO","04/2018","534823"
"27","ALAGOAS","04/2018","201937"
"28","SERGIPE","04/2018","128800"
"29","BAHIA","04/2018","808854"
"31","MINAS GERAIS","04/2018","1160987"
"32","ESPÍRITO SANTO","04/2018","238485"
"33","RIO DE JANEIRO","04/2018","664353"
"35","SÃO PAULO","04/2018","1836974"
"41","PARANÁ","04/2018","580473"
"42","SANTA CATARINA","04/2018","194180"
"43","RIO GRANDE DO SUL","04/2018","450113"
"50","MATO GROSSO DO SUL","04/2018","182096"
"51","MATO GROSSO","04/2018","255981"
"52","GOIÁS","04/2018","486459"
"53","DISTRITO FEDERAL","04/2018","105639"
"11","RONDÔNIA","05/2018","149297"
"12","ACRE","05/2018","62835"
"13","AMAZONAS","05/2018","311740"
"14","RORAIMA","05/2018","48150"
"15","PARÁ","05/2018","602022"
"16","AMAPÁ","05/2018","52721"
"17","TOCANTINS","05/2018","145006"
"21","MARANHÃO","05/2018","362345"
"22","PIAUÍ","05/2018","151224"
"23","CEARÁ","05/2018","568622"
"24","RIO GRANDE DO NORTE","05/2018","209571"
"25","PARAÍBA","05/2018","170442"
"26","PERNAMBUCO","05/2018","530899"
"27","ALAGOAS","05/2018","199668"
"28","SERGIPE","05/2018","128095"
"29","BAHIA","05/2018","803852"
"31","MINAS GERAIS","05/2018","1156221"
"32","ESPÍRITO SANTO","05/2018","239693"
"33","RIO DE JANEIRO","05/2018","665022"
"35","SÃO PAULO","05/2018","1845412"
"41","PARANÁ","05/2018","580942"
"42","SANTA CATARINA","05/2018","194986"
"43","RIO GRANDE DO SUL","05/2018","451086"
"50","MATO GROSSO DO SUL","05/2018","183251"
"51","MATO GROSSO","05/2018","257434"
"52","GOIÁS","05/2018","489185"
"53","DISTRITO FEDERAL","05/2018","105533"
"11","RONDÔNIA","06/2018","149580"
"12","ACRE","06/2018","62527"
"13","AMAZONAS","06/2018","313799"
"14","RORAIMA","06/2018","48391"
"15","PARÁ","06/2018","605378"
"16","AMAPÁ","06/2018","52758"
"17","TOCANTINS","06/2018","144920"
"21","MARANHÃO","06/2018","364507"
"22","PIAUÍ","06/2018","151385"
"23","CEARÁ","06/2018","566437"
"24","RIO GRANDE DO NORTE","06/2018","209187"
"25","PARAÍBA","06/2018","170890"
"26","PERNAMBUCO","06/2018","530707"
"27","ALAGOAS","06/2018","199024"
"28","SERGIPE","06/2018","127849"
"29","BAHIA","06/2018","804889"
"31","MINAS GERAIS","06/2018","1155196"
"32","ESPÍRITO SANTO","06/2018","240507"
"33","RIO DE JANEIRO","06/2018","666856"
"35","SÃO PAULO","06/2018","1852998"
"41","PARANÁ","06/2018","580825"
"42","SANTA CATARINA","06/2018","195659"
"43","RIO GRANDE DO SUL","06/2018","450976"
"50","MATO GROSSO DO SUL","06/2018","184139"
"51","MATO GROSSO","06/2018","257842"
"52","GOIÁS","06/2018","490631"
"53","DISTRITO FEDERAL","06/2018","105528"
"11","RONDÔNIA","07/2018","152357"
"12","ACRE","07/2018","63903"
"13","AMAZONAS","07/2018","317459"
"14","RORAIMA","07/2018","50192"
"15","PARÁ","07/2018","611980"
"16","AMAPÁ","07/2018","52518"
"17","TOCANTINS","07/2018","148056"
"21","MARANHÃO","07/2018","371406"
"22","PIAUÍ","07/2018","157459"
"23","CEARÁ","07/2018","583160"
"24","RIO GRANDE DO NORTE","07/2018","213531"
"25","PARAÍBA","07/2018","179172"
"26","PERNAMBUCO","07/2018","542530"
"27","ALAGOAS","07/2018","205290"
"28","SERGIPE","07/2018","130727"
"29","BAHIA","07/2018","822000"
"31","MINAS GERAIS","07/2018","1191364"
"32","ESPÍRITO SANTO","07/2018","246928"
"33","RIO DE JANEIRO","07/2018","677244"
"35","SÃO PAULO","07/2018","1895889"
"41","PARANÁ","07/2018","600106"
"42","SANTA CATARINA","07/2018","203032"
"43","RIO GRANDE DO SUL","07/2018","461491"
"50","MATO GROSSO DO SUL","07/2018","189977"
"51","MATO GROSSO","07/2018","263436"
"52","GOIÁS","07/2018","501073"
"53","DISTRITO FEDERAL","07/2018","106937"
"11","RONDÔNIA","08/2018","144289"
"12","ACRE","08/2018","60032"
"13","AMAZONAS","08/2018","304303"
"14","RORAIMA","08/2018","48037"
"15","PARÁ","08/2018","586573"
"16","AMAPÁ","08/2018","50442"
"17","TOCANTINS","08/2018","141330"
"21","MARANHÃO","08/2018","349883"
"22","PIAUÍ","08/2018","147897"
"23","CEARÁ","08/2018","547502"
"24","RIO GRANDE DO NORTE","08/2018","198521"
"25","PARAÍBA","08/2018","164282"
"26","PERNAMBUCO","08/2018","511739"
